danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,audio_features,07q0QVgO56EorrSGHC48y3,spotify:track:07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/audio-analysis/07q0QVgO56EorrSGHC48y3,271240,4
0.776,0.867,3,-3.704,0,0.0479,0.0495,7.92e-06,0.197,0.918,138.827,audio_features,1OOtq8tRnDM8kG2gqUPjAj,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,258040,4
0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,audio_features,0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,https://api.spotify.com/v1/audio-analysis/0hCB0YR03f6AmQaHbwWDe8,333893,4
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,audio_features,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,225280,4
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4
0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,audio_features,1DIXPcTDzTj8ZMHt3PDt8p,spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,https://api.spotify.com/v1/tracks/1DIXPcTDzTj8ZMHt3PDt8p,https://api.spotify.com/v1/audio-analysis/1DIXPcTDzTj8ZMHt3PDt8p,240693,4
0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303,audio_features,7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW,356067,4
0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,audio_features,4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,271093,4
0.455,0.686,5,-7.037,0,0.0328,0.0436,0.000242,0.137,0.427,132.563,audio_features,2V5Kycr8uGnAA9kHCCnogd,spotify:track:2V5Kycr8uGnAA9kHCCnogd,https://api.spotify.com/v1/tracks/2V5Kycr8uGnAA9kHCCnogd,https://api.spotify.com/v1/audio-analysis/2V5Kycr8uGnAA9kHCCnogd,241520,4
0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,audio_features,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://api.spotify.com/v1/audio-analysis/2M9ro2krNb7nr7HSprkEgo,296800,4
0.691,0.507,11,-10.23,1,0.0343,0.627,0.0,0.457,0.885,128.518,audio_features,2g2GkH3vZHk4lWzBjgQ6nY,spotify:track:2g2GkH3vZHk4lWzBjgQ6nY,https://api.spotify.com/v1/tracks/2g2GkH3vZHk4lWzBjgQ6nY,https://api.spotify.com/v1/audio-analysis/2g2GkH3vZHk4lWzBjgQ6nY,125440,4
0.541,0.499,4,-9.542,0,0.037,0.458,0.0,0.0779,0.195,149.703,audio_features,0Al7Gm0VGsYUaApCED5qDH,spotify:track:0Al7Gm0VGsYUaApCED5qDH,https://api.spotify.com/v1/tracks/0Al7Gm0VGsYUaApCED5qDH,https://api.spotify.com/v1/audio-analysis/0Al7Gm0VGsYUaApCED5qDH,231085,4
